restaurant 鳥良商店 国際フォーラム横店 Toriyoshi Shoten International Forum Yoko,"東京都千代田区丸の内3-7-5, 1階, Tokyo, 100-0005"
 ナチュラルローソン 千代田三番町店 NATURAL LAWSON Chiyoda Sanbancho,"東京都千代田区三番町6‐4, Tokyo, 102-0075"
restaurant 俺のBakery大手町,"東京都 千代田区 大手町1-7-2, 東京サンケイビル B2F, Tokyo, 100-0004"
restaurant 菱膳 神田店 Hishizen Kanda,"Kanda Higashimatsushitachō, Chiyoda-Ku, Tōkyō-to 101-0042"
restaurant 丼ぶり 優和ぎ yu-nagi,"東京都 千代田区 内神田1-16-4, Tokyo, 101-0047"
 いきなり！ステーキ 市ヶ谷店 Ikinari Steak Ichigaya,"東京都千代田区九段南3-9-11, ﾏﾙｺｰﾄ麹町, 124-0022"
restaurant 石庫門 神田店 Sekkomon Kanda,"東京都千代田区鍛冶町2-13-28, Tokyo, 101-0044"
 スターバックス コーヒー 神田駅前店 Starbucks Coffee Kanda Eki-mae,"東京都千代田区神田鍛冶町3-2, 神田サンミビル, 101-0045"
restaurant スターケバブ★アキバテラス秋葉原2号店 STAR KEBAB★AKIBA,"日本、〒101-0021 東京都千代田区外神田３丁目１０−７,"
 スターバックス コーヒー 九段下店 Starbucks Coffee Kudanshita,"東京都千代田区九段北1-2-1, Tokyo, 102-0073"
 伝説のすた丼屋 お茶の水店 Densetsu no Sutadonya Ochanomizu,"東京都千代田区神田駿河台2-4-4,"
restaurant から揚げ専門店 京香 神田店 kyouka Kanda,"2 Chome-9-2 Iwamotochō, Chiyoda-Ku, Tōkyō-to 101-0032"
 はなまるうどん 神保町店 Hanamaru Udon JINBOCHO,"東京都千代田区神田神保町1-9-7-1, 稲垣ﾋﾞﾙ1F, 101-0051"
restaurant 新東記クラーク・キー sin tong kee clark quay,"千代田区大手町1-9-2, 大手町フィナンシャルシティ グランキューブ 102,"
restaurant ジョイアルカレーサロン神田錦町店 Gioial Curry Kandanishikicyo,"千代田区 神田錦町1-12-9 , アーク錦町ビル一階, Tokyo, 101-0054"
restaurant o/sio オシオ,"日本、〒100-0005 東京都千代田区丸の内２丁目６−１ ブリックスクエア B1f, 丸の内ブリックスクエアB1F,"
restaurant 東京アスリート食堂 神田錦町本店 Tokyo Athlete Shokudo Kandanishikicho Honten,"日本、〒101-0054 東京都千代田区神田錦町３丁目２１, 三錦ビル1F, 東京都 101-0054"
restaurant とんかつさくら秋葉原店【宅配専門店】 Tonkatsu Sakura Akihabara,"日本、〒101-0021 東京都千代田区外神田１丁目１８, BiToAKIBA6階, 東京都 101-0021"
restaurant 十勝ハーブ牛ホルモン MONMOM Tokachi herb-beef horumon MONMOM,"東京都千代田区神田神保町3-3-2, Tokyo, 101-0051"
restaurant 中国雲南酒膳坊 過橋米線 秋葉原店 Kakyobeisen AKIHABARA,"東京都千代田区外神田6-5-11, Tokyo, 101-0021"
restaurant ターリー屋 神田西口店 Indian Restaurant Thaliya Kanda-East Entrance,"Japan, 〒101-0047 Tōkyō-To, Chiyoda-Ku, Uchikanda, 3 Chome−9−６ 大熊ビル １f,"
restaurant DRAWING HOUSE OF HIBIYA DRAWING HOUSE OF HIBIYA,"東京都千代田区有楽町1-1-2, 東京ミッドタウン日比谷6F, Tokyo, 100-0006"
restaurant マザーインディア 半蔵門駅前店 MOTHER INDIA Hanzomon ekimae,"東京都 千代田区 麹町1-3-7, 日月館麹町ビル1Ｆ, Tokyo, 102-0083"
